id,order,year,month,product code,title,module code,type,system,setting,confidence,edition,authors,cover_url,cover_artist,semester,season
1,,1974,6,2002,Dungeons & Dragons,,boxed set,D&D,,verified,,Gary Gygax & Dave Arneson,https://www.tsrarchive.com/dd/dd2-3vs-box.jpg,Greg Bell,1,
24,,1975,3,2003,Supplement I: Greyhawk,,accessory,D&D,Greyhawk,verified,,Gary Gygax & Rob Kuntz,https://www.tsrarchive.com/dd/dd2-sup1-12th.jpg,Greg Bell,1,
23,,1975,12,2004,Supplement II: Blackmoor,,accessory,D&D,Blackmoor,verified,,Dave Arneson,https://www.tsrarchive.com/dd/dd2-sup2-5th.jpg,LIKELY: David C. Sutherland III,2,
9,,1976,5,2005,Supplement III: Eldritch Wizardry,,accessory,D&D,,verified,,Gary Gygax & Brian Blume,https://www.tsrarchive.com/dd/dd2-sup3-5th.jpg,Deborah Larson,1,
2,,1976,6,9004,Dungeon Geomorphs Set One: Basic Dungeon,,accessory,D&D,,likely,,Gary Gygax,https://www.tsrarchive.com/dd/dd2-geo1-2nd.jpg,N/A,1,
3,,1976,7,2006,"Supplement IV: Gods, Demi-Gods & Heroes",,accessory,D&D,,likely,,Robert Kuntz & James Ward,https://www.tsrarchive.com/dd/dd2-sup4-1st.jpg,NOT FOUND,2,
4,,1976,8,2007,Swords & Spells,,accessory,D&D,,likely,,Gary Gygax,https://www.tsrarchive.com/dd/dd2-sup5-1st.jpg,David C. Sutherland III,2,
5,,1977,7,1001,Dungeons & Dragons Basic Set,,boxed set,D&D,,likely,,Eric Holmes,https://blogger.googleusercontent.com/img/a/AVvXsEgpBbG-hJeBCbkwZIHFzy3HF2FxM8Jwd97gTZwn5BLqLEvnWWOIp3LTR4CxV8aJ9q0UDt0UbkLaOkvAV8Bv85CRz8tMLHDrn2Fj6ff15v8HkaVFFM5F5720LrG-r2PlwkcAplc3vtnnKnXKbRo6dJ8UQyhvFnHM1Cx__sR3Wpm2KsG5zEAo1nW1ljDx=w500-h640,David C. Sutherland III,2,
6,,1977,12,2009,Monster Manual,,hardcover,AD&D,,verified,,Gary Gyax,https://www.tsrarchive.com/add/add-1e-core-mm-1st.jpg,David C. Sutherland III,2,
16,,1977,,9005,Dungeon Geomorphs Set Two: Caves & Caverns,,accessory,D&D,,likely,,Gary & Ernie Gygax,https://www.tsrarchive.com/dd/dd2-geo2-3rd.jpg,N/A,2,9 late Summer
18,,1977,,9006,Dungeon Geomorphs Set Three: Lower Dungeons,,accessory,D&D,,likely,,Gary Gygax,https://www.tsrarchive.com/dd/dd2-geo3-3rd.jpg,N/A,2,10 early Autumn
19,,1977,,9008,Outdoor Geomorphs Set One: Walled City,,accessory,D&D,,likely,,Gary Gygax,https://www.tsrarchive.com/dd/dd2-geoout-2nd.jpg,N/A,2,11 Autumn
7,,1977,,9011,Monster & Treasure Assortment Set One: Levels One-Three,,accessory,D&D,,likely,,,https://www.tsrarchive.com/dd/dd2-mta1-2nd.jpg,N/A,2,11 Autumn
8,,1977,,9014,Character Record Sheets,,accessory,D&D,,likely,1st print,,https://www.tsrarchive.com/dd/dd2-crs-2nd.jpg,N/A,2,11 Autumn
